OBJECTID,shortest_dist
888,1151.82
889,1109.87
890,1132.7
891,1179.2
892,1150.95
893,1152.25
894,1160.99
895,1153.82
896,1146.83
897,1134.6
898,1137.35
899,996.33
900,1134.84
901,1181.62
902,1223.44
903,1128.5
904,353.63
905,1301.45
906,1153.34
907,1114.71
908,1154.56
909,1035.03
910,1103.08
911,1108.78
912,703.03
913,1268.38
914,1261.18
915,1139.51
916,1102.55
917,1153.68
918,1150.3
919,1102.04
920,1102.68
921,956.36
922,1292.59
923,1170.56
924,1282.18
925,1103.76
926,698.59
927,907.97
928,1140.04
929,1102.1
930,1291.29
931,1140.58
932,1026.65
933,1106.15
934,1172.6
935,704.09
936,1116.1
937,1272.07
938,1131.64
939,1273.95
940,1167.08
941,1108.68
942,913.66
943,1257.33
944,1269.35
945,1026.0
946,1251.41
947,1231.64
948,1280.59
949,1246.87
950,1250.51
951,930.65
952,1026.76
953,1224.22
954,1010.79
955,1251.83
956,1260.91
957,1161.76
958,1227.51
959,918.89
960,1107.23
961,1302.75
962,1124.85
963,1044.81
964,1280.74
965,1160.23
966,1036.5
967,1109.77
968,1285.0
969,1183.79
970,1103.21
971,1247.93
972,1264.09
973,702.85
974,1223.07
975,1304.62
976,1301.35
977,1265.13
978,1254.15
979,1251.95
980,373.37
981,1287.75
982,887.51
983,1296.89
984,1085.42
985,698.42
986,1222.95
987,1213.8
988,1225.77
989,1023.85
990,1272.69
991,1223.55
992,1175.92
993,1260.1
994,472.89
995,1301.0
996,1214.58
997,1254.46
998,1225.86
999,1059.08
1000,901.66
1001,953.52
1002,1233.41
1003,817.49
1004,1302.57
1005,890.41
1006,817.47
1007,1224.2
1008,1014.81
1009,1222.3
1010,1223.54
1011,1221.25
1012,1195.33
1013,1211.7
1014,914.41
1015,1081.88
1016,1173.33
1017,1014.38
1018,459.69
1019,1156.79
1020,1223.31
1021,1196.85
1022,1041.75
1023,1205.07
1024,1215.49
1025,1182.94
1026,1213.0
1027,1191.45
1028,807.15
1029,809.44
1030,812.68
1031,820.11
1032,819.02
1033,820.2
1034,817.15
1035,1186.28
1036,1222.87
1037,1216.29
1038,1034.87
1039,1166.63
1040,830.05
1041,807.01
1042,815.08
1043,825.08
1044,811.71
1045,814.53
1046,799.36
1047,803.69
1048,820.55
1049,813.71
1050,818.6
1051,804.73
1052,805.18
1053,793.87
1054,800.31
1055,782.78
1056,1244.48
1057,1005.08
1058,813.55
1059,1284.61
1060,724.66
1061,930.03
1062,1000.41
1063,1269.71
1064,1246.1
1065,1266.34
1066,1194.22
1067,1280.74
1068,1100.06
1069,1106.54
1070,1288.32
1071,1119.41
1072,1254.7
1073,1237.07
1074,763.92
1075,1256.64
1076,1018.61
1077,1298.16
1078,1249.85
1079,1277.26
1080,1119.91
1081,1245.98
1082,763.99
1083,1294.07
1084,1199.38
1085,1258.06
1086,1293.16
1087,1153.51
1088,1301.24
1089,1285.31
1090,1231.62
1091,1258.05
1092,998.56
1093,1082.82
1094,1296.25
1095,1163.3
1096,1287.25
1097,996.78
1098,1295.68
1099,1319.1
1100,1288.66
1101,1194.08
1102,1250.83
1103,1289.6
1104,1108.37
1105,1103.71
1106,1107.0
1107,949.33
1108,998.48
1109,1149.42
1110,1155.38
1111,733.18
1112,1276.66
1113,1277.84
1114,1133.96
1115,1161.98
1116,1264.07
1117,1277.98
1118,771.21
1119,1106.12
1120,1224.72
1121,974.21
1122,1295.05
1123,1258.68
1124,1283.23
1125,1276.04
1126,1294.25
1127,1261.92
1128,1222.89
1129,1256.45
1130,1250.93
1131,1235.55
1132,1261.43
1133,1304.9
1134,1292.7
1135,1298.41
1136,1103.77
1137,1064.62
1138,1253.78
1139,1251.82
1140,1113.08
1141,1258.57
1142,1254.0
1143,1265.24
1144,887.35
1145,1265.01
1146,1226.46
1147,1255.89
1148,1256.71
1149,1220.99
1150,1093.3
1151,1244.6
1152,820.88
1153,1295.08
1154,1246.07
1155,1194.21
1156,1242.81
1157,1203.55
1158,1254.48
1159,1215.71
1160,958.27
1161,1040.98
1162,998.02
1163,1254.92
1164,1222.55
1165,1253.92
1166,1013.39
1167,1119.95
1168,1257.71
1169,1299.28
1170,901.61
1171,1281.55
1172,999.27
1173,1166.42
1174,1261.82
1175,1219.05
1176,1158.7
1177,1224.43
1178,1300.41
1179,785.7
1180,887.87
1181,1041.87
1182,952.62
1183,1189.64
1184,695.14
1185,1201.85
1186,944.06
1187,894.09
1188,997.22
1189,972.34
1190,1050.13
1191,952.79
1192,949.43
1193,1208.53
1194,1215.6
1195,1066.35
1196,952.93
1197,1184.31
1198,916.72
1199,1211.71
1200,1175.12
1201,1201.46
1202,914.22
1203,1200.03
1204,1062.39
1205,1220.12
1206,1204.54
1207,1188.79
1208,1117.91
1209,1219.24
1210,1065.59
1211,1014.98
1212,1196.3
1213,1071.78
1214,1063.61
1215,1190.78
1216,1188.85
1217,782.37
1218,809.0
1219,805.66
1220,789.14
1221,804.3
1222,817.23
1223,823.52
1224,798.12
1225,1220.28
1226,1190.54
1227,804.92
1228,811.8
1229,812.13
1230,808.47
1231,813.5
1232,819.67
1233,815.82
1234,792.47
1235,795.22
1236,512.87
1237,1162.19
1238,1211.78
1239,1300.72
1240,347.9
1241,1250.27
1242,1207.28
1243,692.81
1244,1151.75
1245,1158.18
1246,1140.53
1247,1009.23
1248,1262.91
1249,1295.71
1250,573.07
1251,1169.73
1252,805.55
1253,1140.59
1254,1297.05
1255,1151.54
1256,963.01
1257,1296.75
1258,1136.38
1259,1141.67
1260,1145.76
1261,1160.82
1262,1091.13
1263,468.57
1264,1282.72
1265,1106.02
1266,1125.33
1267,955.73
1268,1129.22
1269,1122.88
1270,1091.28
1271,1222.72
1272,914.32
1273,1164.38
1274,1258.51
1275,1192.42
1276,1319.44
1277,1239.91
1278,1288.73
1279,1235.78
1280,1210.94
1281,797.38
1282,1145.18
1283,1236.61
1284,1252.06
1285,405.8
1286,1296.02
1287,1098.75
1288,1140.11
1289,1141.55
1290,1112.25
1291,1161.47
1292,1240.46
1293,370.67
1294,350.33
1295,1300.34
1296,1190.33
1297,1255.46
1298,817.93
1299,1243.41
1300,1258.16
1301,1252.96
1302,1238.84
1303,1130.57
1304,1141.01
1305,1220.23
1306,1261.36
1307,1260.87
1308,1224.55
1309,1246.55
1310,1247.01
1311,1223.7
1312,1034.72
1313,1292.22
1314,1296.77
1315,1245.45
1316,811.21
1317,1202.78
1318,1276.53
1319,1267.31
1320,1118.69
1321,1262.71
1322,1243.16
1323,1141.26
1324,1160.46
1325,1116.67
1326,1258.08
1327,1215.66
1328,1159.75
1329,812.35
1330,1259.1
1331,1260.34
1332,1033.79
1333,1151.84
1334,1178.43
1335,1020.68
1336,1159.25
1337,1148.17
1338,1245.5
1339,1148.48
1340,1227.58
1341,1157.18
1342,1146.36
1343,957.46
1344,1146.23
1345,1193.05
1346,1253.95
1347,801.06
1348,792.81
1349,791.17
1350,816.24
1351,803.18
1352,804.2
1353,812.75
1354,782.35
1355,823.26
1356,801.42
1357,1151.03
1358,796.47
1359,804.55
1360,801.04
1361,899.4
1362,1257.17
1363,905.59
1364,1255.97
1365,923.69
1366,1146.05
1367,1143.72
1368,1224.89
1369,1188.63
1370,1143.74
1371,909.1
1372,1140.43
1373,1191.39
1374,1228.75
1375,1150.25
1376,1160.42
1377,1194.67
1378,1151.35
1379,1144.47
1380,1159.07
1381,1148.14
1382,1144.46
1383,1145.74
1384,1148.83
1385,1142.13
1386,1215.95
1387,1190.12
1388,1152.02
1389,1188.22
1390,1149.22
1391,1186.39
1392,1218.0
1393,1189.83
1394,1145.18
1395,797.42
1396,792.49
1397,816.13
1398,774.08
1399,811.13
1400,810.51
1401,808.02
1402,818.69
1403,816.67
1404,821.67
1405,829.82
1406,813.17
1407,802.75
1408,795.9
1409,798.09
1410,1194.92
1411,1191.81
